Avläst elanvändning per timme;;;;;
2026-02-14 07:00;3,731;2025-02-14 07:00;4,42;−6,8;−2,3
2026-02-14 08:00;6,22;2025-02-14 08:00;2,776;−6,4;−2,2
2026-02-14 09:00;5,887;2025-02-14 09:00;4,004;−6,2;−1,8
2026-02-14 10:00;4,104;2025-02-14 10:00;3,62;−6;−1,7
2026-02-14 11:00;5,421;2025-02-14 11:00;1,051;−5,6;−2,1
2026-02-14 12:00;3,036;2025-02-14 12:00;2,148;−5,6;−2,3
2026-02-14 13:00;1,833;2025-02-14 13:00;2,369;−5,4;−2
2026-02-14 14:00;1,846;2025-02-14 14:00;3,893;−4,7;−1,9
2026-02-14 15:00;1,017;2025-02-14 15:00;2,678;−4,5;−1,7
2026-02-14 16:00;2,723;2025-02-14 16:00;1,122;−4,7;−1,8
2026-02-14 17:00;4,307;2025-02-14 17:00;3,001;−5;−1,9
2026-02-14 18:00;5,161;2025-02-14 18:00;2,953;−5,1;−2,5
2026-02-14 19:00;5,558;2025-02-14 19:00;5,008;−5,9;−2,8
2026-02-14 20:00;5,386;2025-02-14 20:00;4,262;−6,3;−2,9
2026-02-14 21:00;7,492;2025-02-14 21:00;3,229;−6,3;−3
2026-02-14 22:00;6,922;2025-02-14 22:00;5,674;−7,3;−3,2
2026-02-14 23:00;6,124;2025-02-14 23:00;4,612;−7,5;−3,3
2026-02-15 00:00;6,963;2025-02-15 00:00;4,842;−8,1;−3,7
2026-02-15 01:00;7,98;2025-02-15 01:00;6,573;−7,9;−4,1
2026-02-15 02:00;5,967;2025-02-15 02:00;5,958;−7,8;−4,1
2026-02-15 03:00;4,566;2025-02-15 03:00;6,525;−8,1;−3,9
2026-02-15 04:00;4,292;2025-02-15 04:00;5,587;−8,4;−4
2026-02-15 05:00;5,133;2025-02-15 05:00;3,967;−8,1;−4,3
2026-02-15 06:00;6,305;2025-02-15 06:00;5,375;−8,1;−4
2026-02-15 07:00;5,931;2025-02-15 07:00;4,497;−7,9;−3,8
2026-02-15 08:00;5,013;2025-02-15 08:00;3,769;−7,9;−4,2
2026-02-15 09:00;5,119;2025-02-15 09:00;4,962;−7,8;−3,8
2026-02-15 10:00;5,314;2025-02-15 10:00;2,39;−7,4;−3,4
2026-02-15 11:00;2,304;2025-02-15 11:00;1,74;−6,7;−3,1
2026-02-15 12:00;3,893;2025-02-15 12:00;0,836;−5,8;−3,1
2026-02-15 13:00;3,332;2025-02-15 13:00;2,353;−5,4;−3
2026-02-15 14:00;2,209;2025-02-15 14:00;2,372;−4,8;−3
2026-02-15 15:00;2,172;2025-02-15 15:00;4,201;−4,6;−3,2
2026-02-15 16:00;2,944;2025-02-15 16:00;3,862;−5,7;−3,3
2026-02-15 17:00;5,111;2025-02-15 17:00;3,248;−7;−3,4
2026-02-15 18:00;4,946;2025-02-15 18:00;3,047;−6,5;−3,6
2026-02-15 19:00;4,145;2025-02-15 19:00;4,316;−5,8;−3,2
2026-02-15 20:00;3,042;2025-02-15 20:00;3,191;−5,7;−3,6
2026-02-15 21:00;4,506;2025-02-15 21:00;1,805;−5,5;−3,1
2026-02-15 22:00;4,245;2025-02-15 22:00;1,33;−5,6;−3,1
2026-02-15 23:00;3,566;2025-02-15 23:00;2,908;−6;−2,5
2026-02-16 00:00;3,338;2025-02-16 00:00;2,923;−5,5;−3,8
2026-02-16 01:00;5,768;2025-02-16 01:00;4,568;−5;−3
2026-02-16 02:00;5,448;2025-02-16 02:00;4,427;−4,6;−3,1
2026-02-16 03:00;4,943;2025-02-16 03:00;3,658;−4;−2,1
2026-02-16 04:00;4,722;2025-02-16 04:00;3,588;−3,9;−4
2026-02-16 05:00;4,57;2025-02-16 05:00;5,784;−3,9;−3,8
2026-02-16 06:00;6,423;2025-02-16 06:00;5,819;−4;−4,9
2026-02-16 07:00;6,039;2025-02-16 07:00;5,352;−4,3;−6,8
2026-02-16 08:00;5,189;2025-02-16 08:00;6,378;−4,3;−7,7
2026-02-16 09:00;3,976;2025-02-16 09:00;6,49;−3,8;−7,5
2026-02-16 10:00;4,828;2025-02-16 10:00;4,041;−2,3;−7,3
2026-02-16 11:00;1,519;2025-02-16 11:00;3,498;−1,4;−6,7
2026-02-16 12:00;1,548;2025-02-16 12:00;4,372;−1,1;−6,1
2026-02-16 13:00;1,471;2025-02-16 13:00;1,874;−1,1;−5,2
2026-02-16 14:00;0,812;2025-02-16 14:00;1,425;−1,4;−4,7
2026-02-16 15:00;1,957;2025-02-16 15:00;3,644;−1,3;−3,8
2026-02-16 16:00;2,014;2025-02-16 16:00;3,363;−1,8;−3,4
2026-02-16 17:00;2,19;2025-02-16 17:00;3,668;−2;−3
2026-02-16 18:00;2,25;2025-02-16 18:00;4,76;−2,2;−2,9
2026-02-16 19:00;4,942;2025-02-16 19:00;2,535;−2;−2,3
2026-02-16 20:00;5,885;2025-02-16 20:00;1,759;−2,2;−2,5
2026-02-16 21:00;4,417;2025-02-16 21:00;1,434;−2,6;−2,2
2026-02-16 22:00;3,741;2025-02-16 22:00;2,809;−2,9;−2
2026-02-16 23:00;5,186;2025-02-16 23:00;2,908;−2,8;−2
2026-02-17 00:00;4,116;2025-02-17 00:00;3,664;−2,6;−1,9
2026-02-17 01:00;2,843;2025-02-17 01:00;4,275;−2;−2,3
2026-02-17 02:00;4,471;2025-02-17 02:00;2,85;−2,3;−2,2
2026-02-17 03:00;3,918;2025-02-17 03:00;1,842;−2,4;−2,5
2026-02-17 04:00;2,577;2025-02-17 04:00;4,233;−2,3;−2,2
2026-02-17 05:00;3,455;2025-02-17 05:00;3,649;−2,4;−2,2
2026-02-17 06:00;3,729;2025-02-17 06:00;2,566;−2,9;−2,5
2026-02-17 07:00;2,577;2025-02-17 07:00;2,686;−3;−2,4
2026-02-17 08:00;2,471;2025-02-17 08:00;4,445;−3;−2,4
2026-02-17 09:00;3,803;2025-02-17 09:00;3,122;−2,3;−2
2026-02-17 10:00;2,076;2025-02-17 10:00;0,786;−1,7;−1,7
2026-02-17 11:00;2,286;2025-02-17 11:00;2,314;−2,1;−0,3
2026-02-17 12:00;2,09;2025-02-17 12:00;2,805;−2,5;−0,2
2026-02-17 13:00;3,606;2025-02-17 13:00;0,921;−2,2;−0,6
2026-02-17 14:00;1,605;2025-02-17 14:00;2,298;−2,1;−2,2
2026-02-17 15:00;2,039;2025-02-17 15:00;2,523;−2,3;−1,7
2026-02-17 16:00;1,164;2025-02-17 16:00;5,167;−2,5;−2,1
2026-02-17 17:00;2,349;2025-02-17 17:00;10,202;−2,6;−1,5
2026-02-17 18:00;4,424;2025-02-17 18:00;7,283;−2,7;−0,9
2026-02-17 19:00;5,37;2025-02-17 19:00;5,171;−2,8;−0,9
2026-02-17 20:00;4,67;2025-02-17 20:00;4,435;−2,8;−0,9
2026-02-17 21:00;4,069;2025-02-17 21:00;3,454;−2,8;−1
2026-02-17 22:00;5,945;2025-02-17 22:00;4,919;−2,7;−1,9
2026-02-17 23:00;5,508;2025-02-17 23:00;6,096;−2,8;−2,3
2026-02-18 00:00;4,83;2025-02-18 00:00;6,857;−3,1;−2,7
2026-02-18 01:00;4,238;2025-02-18 01:00;6,762;−3,3;−3
2026-02-18 02:00;6,973;2025-02-18 02:00;7,277;−3,4;−3,3
2026-02-18 03:00;4,698;2025-02-18 03:00;5,935;−3,6;−3,4
2026-02-18 04:00;2,257;2025-02-18 04:00;6,953;−3,9;−3
2026-02-18 05:00;4,403;2025-02-18 05:00;4,697;−4,2;−2,3
2026-02-18 06:00;3,979;2025-02-18 06:00;3,507;−3,9;−1,9
2026-02-18 07:00;3,859;2025-02-18 07:00;5,814;−3,8;−2
2026-02-18 08:00;3,576;2025-02-18 08:00;7,658;−3,8;−3,7
2026-02-18 09:00;5,671;2025-02-18 09:00;3,343;−3,3;−3,7
2026-02-18 10:00;2,924;2025-02-18 10:00;2,21;−3,1;−3,2
2026-02-18 11:00;2,179;2025-02-18 11:00;2,773;−3,2;−2,7
2026-02-18 12:00;2,277;2025-02-18 12:00;1,915;−3,7;−1,5
2026-02-18 13:00;1,734;2025-02-18 13:00;2,915;−3,8;−0,3
2026-02-18 14:00;2,135;2025-02-18 14:00;2,507;−3,8;0,1
2026-02-18 15:00;4,029;2025-02-18 15:00;1,882;−3,9;0,1
2026-02-18 16:00;8,314;2025-02-18 16:00;4,986;−4,2;0
2026-02-18 17:00;8,607;2025-02-18 17:00;7,926;−4,3;0,1
2026-02-18 18:00;4,968;2025-02-18 18:00;7,422;−4,4;0,2
2026-02-18 19:00;2,739;2025-02-18 19:00;7,195;−4,7;−0,1
2026-02-18 20:00;2,137;2025-02-18 20:00;2,641;−5,1;0
2026-02-18 21:00;2,818;2025-02-18 21:00;2,997;−5;0,1
2026-02-18 22:00;3,983;2025-02-18 22:00;2,726;−5;0,3
2026-02-18 23:00;3,637;2025-02-18 23:00;3,408;−5,3;−0,5
2026-02-19 00:00;2,481;2025-02-19 00:00;4,447;−5,4;−1,5
2026-02-19 01:00;2,509;2025-02-19 01:00;2,962;−5,3;−1,7
2026-02-19 02:00;2,187;2025-02-19 02:00;3,385;−5,7;−2
2026-02-19 03:00;4,169;2025-02-19 03:00;3,637;−5,9;−2,1
2026-02-19 04:00;3,993;2025-02-19 04:00;3,018;−5,9;−2,7
2026-02-19 05:00;3,446;2025-02-19 05:00;4,439;−5,8;−2,5
2026-02-19 06:00;5,169;2025-02-19 06:00;4,394;−5,6;−2,6
2026-02-19 07:00;4,314;2025-02-19 07:00;3,112;−5,5;−2,8
2026-02-19 08:00;5,227;2025-02-19 08:00;5,633;−5,4;−3,2
2026-02-19 09:00;2,106;2025-02-19 09:00;3,574;−5,6;−3,2
2026-02-19 10:00;2,31;2025-02-19 10:00;1,769;−5;−2,7
2026-02-19 11:00;1,439;2025-02-19 11:00;2,348;−5,2;−2,3
2026-02-19 12:00;2,823;2025-02-19 12:00;2,535;−5,1;−1,5
2026-02-19 13:00;4,095;2025-02-19 13:00;2,059;−4,9;−1,1
2026-02-19 14:00;7,496;2025-02-19 14:00;1,927;−4,6;−0,5
2026-02-19 15:00;5,979;2025-02-19 15:00;1,955;−4,3;−0,4
2026-02-19 16:00;4,974;2025-02-19 16:00;2,175;−4,1;−0,6
2026-02-19 17:00;2,362;2025-02-19 17:00;1,496;−3,7;−0,8
2026-02-19 18:00;1,732;2025-02-19 18:00;2,163;−3,8;−1,1
2026-02-19 19:00;1,963;2025-02-19 19:00;2,913;−3,6;−1,5
2026-02-19 20:00;1,891;2025-02-19 20:00;4,813;−3,3;−1,3
2026-02-19 21:00;1,041;2025-02-19 21:00;3,775;−3,2;−1,7
2026-02-19 22:00;2,065;2025-02-19 22:00;3,639;−3,4;−2
2026-02-19 23:00;1,93;2025-02-19 23:00;4,502;−4;−2,1
2026-02-20 00:00;0,92;2025-02-20 00:00;3,744;−4,8;−1,6
2026-02-20 01:00;2,41;2025-02-20 01:00;5,409;−5,2;−1,6
2026-02-20 02:00;2,92;2025-02-20 02:00;3,492;−5,3;−1,3
2026-02-20 03:00;2,491;2025-02-20 03:00;4,601;−5,9;−1,4
2026-02-20 04:00;4,124;2025-02-20 04:00;4,495;−6,3;−1,6
2026-02-20 05:00;4,753;2025-02-20 05:00;3,171;−7;−1,9
2026-02-20 06:00;5,356;2025-02-20 06:00;5,733;−7,7;−2,6
2026-02-20 07:00;4,45;2025-02-20 07:00;5,064;−7,3;−2,6
2026-02-20 08:00;2,921;2025-02-20 08:00;1,853;−7,5;−2,5
2026-02-20 09:00;3,694;2025-02-20 09:00;1,742;−6,8;−1,8
2026-02-20 10:00;2,855;2025-02-20 10:00;2,636;−5,6;−1,2
2026-02-20 11:00;1,836;2025-02-20 11:00;1,557;−3,7;−0,7
2026-02-20 12:00;1,524;2025-02-20 12:00;1,235;−2,2;−0,3
2026-02-20 13:00;1,094;2025-02-20 13:00;1,174;0,4;0,2
2026-02-20 14:00;1,787;2025-02-20 14:00;1,497;−0,2;0,5
2026-02-20 15:00;1,776;2025-02-20 15:00;1,376;−0,4;0,6
2026-02-20 16:00;1,74;2025-02-20 16:00;1,517;−0,6;0,5
2026-02-20 17:00;1,128;2025-02-20 17:00;1,657;−0,8;0,4
2026-02-20 18:00;1,585;2025-02-20 18:00;1,215;−0,9;0,5
2026-02-20 19:00;1,724;2025-02-20 19:00;2,107;−0,4;0,5
2026-02-20 20:00;2,196;2025-02-20 20:00;1,194;0,2;0,6
2026-02-20 21:00;2,16;2025-02-20 21:00;2,542;0,2;0,8
2026-02-20 22:00;1,623;2025-02-20 22:00;2,257;0,1;0,8
2026-02-20 23:00;2,969;2025-02-20 23:00;3,691;0,2;0,9
2026-02-21 00:00;1,93;2025-02-21 00:00;1,298;0;0,8
2026-02-21 01:00;0,734;2025-02-21 01:00;1,273;−0,2;1
2026-02-21 02:00;2,182;2025-02-21 02:00;1,524;−0,3;1
2026-02-21 03:00;1,523;2025-02-21 03:00;2,3;−1,5;1
2026-02-21 04:00;1,39;2025-02-21 04:00;2,818;−1,4;1,2
2026-02-21 05:00;2,145;2025-02-21 05:00;3,502;−1,3;1,3
2026-02-21 06:00;2,009;2025-02-21 06:00;1,362;−1,1;1,2
2026-02-21 07:00;0,846;2025-02-21 07:00;1,539;−1,1;1,3
2026-02-21 08:00;1,825;2025-02-21 08:00;1,596;−0,9;1
2026-02-21 09:00;2,564;2025-02-21 09:00;0,696;−0,7;1,2
2026-02-21 10:00;2,75;2025-02-21 10:00;1,829;−0,1;0,9
2026-02-21 11:00;1,834;2025-02-21 11:00;1,067;0,3;1
2026-02-21 12:00;0,967;2025-02-21 12:00;1,703;0,5;1,1
2026-02-21 13:00;1,754;2025-02-21 13:00;1,519;0,6;1,2
2026-02-21 14:00;1,746;2025-02-21 14:00;2,805;0,7;1,3
2026-02-21 15:00;0,763;2025-02-21 15:00;1,224;0,5;1,3
2026-02-21 16:00;2,296;2025-02-21 16:00;1,673;0,6;1,3
2026-02-21 17:00;1,982;2025-02-21 17:00;0,866;0,6;1,2
2026-02-21 18:00;0,914;2025-02-21 18:00;2,066;0,1;1,3
2026-02-21 19:00;2,417;2025-02-21 19:00;0,998;0;1,2
2026-02-21 20:00;1,595;2025-02-21 20:00;2,584;0;1,4
2026-02-21 21:00;1,374;2025-02-21 21:00;1,719;−0,1;1,5
2026-02-21 22:00;2,347;2025-02-21 22:00;4,219;−0,6;1,5
2026-02-21 23:00;1,752;2025-02-21 23:00;1,455;−0,9;1,6
2026-02-22 00:00;3,253;2025-02-22 00:00;1,464;−0,8;1,8
2026-02-22 01:00;2,342;2025-02-22 01:00;1,17;−1,1;1,5
2026-02-22 02:00;2,961;2025-02-22 02:00;1,312;−1,1;1,6
2026-02-22 03:00;4,118;2025-02-22 03:00;1,356;−1,5;1,7
2026-02-22 04:00;3,704;2025-02-22 04:00;1,533;−2,2;1,7
2026-02-22 05:00;2,597;2025-02-22 05:00;1,813;−2,9;1,7
2026-02-22 06:00;4,209;2025-02-22 06:00;3,21;−3,6;1,9
2026-02-22 07:00;3,479;2025-02-22 07:00;1,219;−3;2
2026-02-22 08:00;2,218;2025-02-22 08:00;2,183;−3,9;2,2
2026-02-22 09:00;3,33;2025-02-22 09:00;0,945;−3,6;2,3
2026-02-22 10:00;3,138;2025-02-22 10:00;1,872;−3,2;2,4
2026-02-22 11:00;1,753;2025-02-22 11:00;1,405;−2,6;2,5
2026-02-22 12:00;2,258;2025-02-22 12:00;1,685;−1,8;2,5
2026-02-22 13:00;1,723;2025-02-22 13:00;0,915;−1,3;2,3
2026-02-22 14:00;3,044;2025-02-22 14:00;1,064;−1,2;2,6
2026-02-22 15:00;2,102;2025-02-22 15:00;1,04;−1;2,6
2026-02-22 16:00;1,041;2025-02-22 16:00;1,004;−1,3;2,7
2026-02-22 17:00;2,445;2025-02-22 17:00;2,157;−2,2;2,5
2026-02-22 18:00;2,596;2025-02-22 18:00;1,321;−2,1;2,5
2026-02-22 19:00;3,29;2025-02-22 19:00;2,077;−2,4;2,6
2026-02-22 20:00;5,187;2025-02-22 20:00;2,887;−2,6;2,3
2026-02-22 21:00;3,958;2025-02-22 21:00;2,016;−2,5;2,5
2026-02-22 22:00;2,331;2025-02-22 22:00;1,967;−2,4;2,5
2026-02-22 23:00;4,041;2025-02-22 23:00;2,493;−1,3;2,5
2026-02-23 00:00;2,671;2025-02-23 00:00;2,59;−1,2;2,6
2026-02-23 01:00;3,074;2025-02-23 01:00;3,033;−1;2,3
2026-02-23 02:00;3,311;2025-02-23 02:00;2,161;−0,9;2,4
2026-02-23 03:00;2,109;2025-02-23 03:00;3,135;−0,6;2,5
2026-02-23 04:00;3,091;2025-02-23 04:00;0,89;−0,4;2,6
2026-02-23 05:00;3,238;2025-02-23 05:00;1,813;−0,3;2,7
2026-02-23 06:00;2,411;2025-02-23 06:00;2,04;−0,2;2,4
2026-02-23 07:00;1,002;2025-02-23 07:00;2,852;−0,1;2,4
2026-02-23 08:00;2,219;2025-02-23 08:00;1,444;0,1;2,5
2026-02-23 09:00;0,932;2025-02-23 09:00;1,291;0,1;2,4
2026-02-23 10:00;1,99;2025-02-23 10:00;1,931;0,3;2,3
2026-02-23 11:00;1,022;2025-02-23 11:00;0,87;0,3;2,4
2026-02-23 12:00;2,607;2025-02-23 12:00;2,529;0,4;2,5
2026-02-23 13:00;1,644;2025-02-23 13:00;1,055;0,3;2,5
2026-02-23 14:00;1,26;2025-02-23 14:00;1,767;0,2;2,3
2026-02-23 15:00;1,606;2025-02-23 15:00;0,941;0,1;2,3
2026-02-23 16:00;1,27;2025-02-23 16:00;1,029;0;2,5
2026-02-23 17:00;1,825;2025-02-23 17:00;1,355;−0,2;2,5
2026-02-23 18:00;3,018;2025-02-23 18:00;0,922;−0,3;2,7
2026-02-23 19:00;2,235;2025-02-23 19:00;0,988;−0,2;3,2
2026-02-23 20:00;3,217;2025-02-23 20:00;1,153;−0,2;2,9
2026-02-23 21:00;1,763;2025-02-23 21:00;1,097;−0,2;3,5
2026-02-23 22:00;2,422;2025-02-23 22:00;1,248;−0,3;3
2026-02-23 23:00;2,699;2025-02-23 23:00;1,018;−0,1;3,4
2026-02-24 00:00;2,076;2025-02-24 00:00;1,565;−0,1;3,2
2026-02-24 01:00;0,701;2025-02-24 01:00;1,099;−0,2;2,4
2026-02-24 02:00;2,249;2025-02-24 02:00;1,05;−0,5;3,1
2026-02-24 03:00;1,381;2025-02-24 03:00;2,378;−1;3
2026-02-24 04:00;1,645;2025-02-24 04:00;2,627;−1,3;2,5
2026-02-24 05:00;2,313;2025-02-24 05:00;1,987;−2;1,8
2026-02-24 06:00;1,833;2025-02-24 06:00;1,269;−2,8;1,5
2026-02-24 07:00;3,34;2025-02-24 07:00;1,317;−2,9;1
2026-02-24 08:00;2,411;2025-02-24 08:00;1,459;−2,7;1,1
2026-02-24 09:00;3,54;2025-02-24 09:00;1,077;−2,6;1,3
2026-02-24 10:00;2,175;2025-02-24 10:00;1,907;−2,9;1,2
2026-02-24 11:00;2,175;2025-02-24 11:00;2,63;−3;1,4
2026-02-24 12:00;4,006;2025-02-24 12:00;1,533;−2,9;1,3
2026-02-24 13:00;2,373;2025-02-24 13:00;2,017;−3,2;1,3
2026-02-24 14:00;3,409;2025-02-24 14:00;0,904;−2,6;1,5
2026-02-24 15:00;2,583;2025-02-24 15:00;1,971;−2,4;1,5
2026-02-24 16:00;1,036;2025-02-24 16:00;3,181;−2,1;1,8
2026-02-24 17:00;2,432;2025-02-24 17:00;1,956;−2,1;2
2026-02-24 18:00;2,205;2025-02-24 18:00;2,318;−2,7;2,1
2026-02-24 19:00;2,421;2025-02-24 19:00;3,132;−2,5;2,1
2026-02-24 20:00;3,625;2025-02-24 20:00;2,364;−2,3;1,8
2026-02-24 21:00;2,278;2025-02-24 21:00;2,056;−2,5;1,7
2026-02-24 22:00;3,411;2025-02-24 22:00;2,3;−2,6;1,8
2026-02-24 23:00;3,098;2025-02-24 23:00;2,536;−3,3;2
2026-02-25 00:00;2,94;2025-02-25 00:00;2,806;−3,3;2
2026-02-25 01:00;3,025;2025-02-25 01:00;1,139;−3,5;2
2026-02-25 02:00;3,249;2025-02-25 02:00;1,175;−3,8;1,9
2026-02-25 03:00;4,164;2025-02-25 03:00;0,833;−3,5;2
2026-02-25 04:00;3,475;2025-02-25 04:00;1,693;−3,5;2,1
2026-02-25 05:00;2,658;2025-02-25 05:00;0,813;−3,6;2,2
2026-02-25 06:00;3,524;2025-02-25 06:00;2,28;−3,7;2,3
2026-02-25 07:00;4,935;2025-02-25 07:00;2,313;−3,7;2,4
2026-02-25 08:00;4,811;2025-02-25 08:00;2,548;−3,2;2,5
2026-02-25 09:00;3,353;2025-02-25 09:00;1,155;−3,2;2,6
2026-02-25 10:00;3,088;2025-02-25 10:00;1,077;−2,2;2,8
2026-02-25 11:00;2,721;2025-02-25 11:00;0,959;−1,9;2,6
2026-02-25 12:00;1,806;2025-02-25 12:00;0,994;−1,5;2,5
2026-02-25 13:00;0,792;2025-02-25 13:00;1,709;−1,3;2,6
2026-02-25 14:00;2,145;2025-02-25 14:00;1,032;−0,7;2,5
2026-02-25 15:00;1,854;2025-02-25 15:00;1,381;−0,5;2,4
2026-02-25 16:00;0,984;2025-02-25 16:00;0,773;−0,6;2,3
2026-02-25 17:00;2,353;2025-02-25 17:00;1,68;−0,4;2,1
2026-02-25 18:00;2,162;2025-02-25 18:00;1,875;0,2;2,2
2026-02-25 19:00;0,911;2025-02-25 19:00;2,187;0,4;2,7
2026-02-25 20:00;2,416;2025-02-25 20:00;1,99;0,6;2,7
2026-02-25 21:00;1,865;2025-02-25 21:00;2,127;0,7;2,8
2026-02-25 22:00;1,05;2025-02-25 22:00;1,897;0,4;2,6
2026-02-25 23:00;2,271;2025-02-25 23:00;1,986;0,8;2,2
2026-02-26 00:00;1,469;2025-02-26 00:00;2,903;0,6;2,5
2026-02-26 01:00;1,127;2025-02-26 01:00;2,91;0,4;2,8
2026-02-26 02:00;2,304;2025-02-26 02:00;2,738;0,7;3,5
2026-02-26 03:00;1,92;2025-02-26 03:00;3,332;0,8;2
2026-02-26 04:00;2,344;2025-02-26 04:00;1,704;0,9;2,3
2026-02-26 05:00;2,726;2025-02-26 05:00;2,094;1;2,4
2026-02-26 06:00;0,764;2025-02-26 06:00;2,798;1,1;2,1
2026-02-26 07:00;2,4;2025-02-26 07:00;1,893;1,2;1,8
2026-02-26 08:00;1,34;2025-02-26 08:00;3,026;1,3;2
2026-02-26 09:00;1,564;2025-02-26 09:00;2,895;1,3;2,4
2026-02-26 10:00;1,626;2025-02-26 10:00;0,995;1,2;2,6
2026-02-26 11:00;1,182;2025-02-26 11:00;0,839;1,2;3,3
2026-02-26 12:00;2,065;2025-02-26 12:00;0,784;1,4;2,8
2026-02-26 13:00;0,691;2025-02-26 13:00;0,885;1,5;2,8
2026-02-26 14:00;2,173;2025-02-26 14:00;0,652;1,5;3
2026-02-26 15:00;0,887;2025-02-26 15:00;0,761;1,7;3,1
2026-02-26 16:00;2,308;2025-02-26 16:00;3,856;1,7;3
2026-02-26 17:00;2,037;2025-02-26 17:00;6,637;1,9;2,7
2026-02-26 18:00;2,338;2025-02-26 18:00;6,798;1,8;3
2026-02-26 19:00;2,076;2025-02-26 19:00;3,554;1,9;3
2026-02-26 20:00;1,234;2025-02-26 20:00;2,114;2,4;2,9
2026-02-26 21:00;1,624;2025-02-26 21:00;2,627;2,2;2,9
2026-02-26 22:00;1,306;2025-02-26 22:00;2,345;2,2;2,7
2026-02-26 23:00;1,441;2025-02-26 23:00;0,952;2,7;2,6
2026-02-27 00:00;;2025-02-27 00:00;1,126;3;2,6
2026-02-27 01:00;;2025-02-27 01:00;0,967;2,3;2,6
2026-02-27 02:00;;2025-02-27 02:00;1,084;3,7;2,4
2026-02-27 03:00;;2025-02-27 03:00;1,045;3,6;2,4
2026-02-27 04:00;;2025-02-27 04:00;1,031;2,6;2,3
2026-02-27 05:00;;2025-02-27 05:00;1,635;2,8;2,2
2026-02-27 06:00;;2025-02-27 06:00;1,657;2,7;2,2
2026-02-27 07:00;;2025-02-27 07:00;1,97;2,5;2,2
2026-02-27 08:00;;2025-02-27 08:00;1,753;2,5;2,2
2026-02-27 09:00;;2025-02-27 09:00;2,677;2,5;2,1
2026-02-27 10:00;;2025-02-27 10:00;2,605;2,2;1,8
2026-02-27 11:00;;2025-02-27 11:00;2,527;;1,6
2026-02-27 12:00;;2025-02-27 12:00;1,323;;1,4
2026-02-27 13:00;;2025-02-27 13:00;0,86;;1,2
2026-02-27 14:00;;2025-02-27 14:00;0,807;;2
2026-02-27 15:00;;2025-02-27 15:00;0,761;;2,1
2026-02-27 16:00;;2025-02-27 16:00;1,054;;1,9
2026-02-27 17:00;;2025-02-27 17:00;1,258;;2
2026-02-27 18:00;;2025-02-27 18:00;1,083;;2
2026-02-27 19:00;;2025-02-27 19:00;1,572;;1,9
2026-02-27 20:00;;2025-02-27 20:00;0,978;;1,9
2026-02-27 21:00;;2025-02-27 21:00;1,603;;1,7
2026-02-27 22:00;;2025-02-27 22:00;1,866;;1,5
2026-02-27 23:00;;2025-02-27 23:00;3,342;;1,5